"","Scientific_Name","Common_Name","Taxon","Subtaxon","Lead_Region","State","Q_n","Question","Explanation","Source","Factor","Sensitive"
"184","Ammodramus maritimus mirabilis","Sparrow, Cape Sable seaside","Vertebrate","Bird","FWS Region 4: Southeast","FL ",4,"Is the species or its habitat geographically restricted or confined by natural and/or anthropogenic barriers (e.g. mountain range, isolated soil type, coastal zone or island, or hemmed in by urban development)?","Very small range: ""<100-250 square km (less than about 40-100 square miles)""","NatureServe","Isolation","Yes"
"185","Ammodramus maritimus mirabilis","Sparrow, Cape Sable seaside","Vertebrate","Bird","FWS Region 4: Southeast","FL ",5,"Is the species or its habitat threatened by the spread of invasive or “out of balance” species (e.g. weed, forest pest, novel disease)?","Encroachment of non-native vegetation may result more frequently if fires and flooding increase","FWS five-year review (http://ecos.fws.gov/docs/five_year_review/doc3272.pdf)","Injurious species","Yes"
"186","Ammodramus maritimus mirabilis","Sparrow, Cape Sable seaside","Vertebrate","Bird","FWS Region 4: Southeast","FL ",6,"Is the species sensitive to changes in chemical concentration (e.g. elevated atmospheric CO2, change in water pH, or dissolved oxygen tolerance)?","","","Chemistry","No"
"187","Ammodramus maritimus mirabilis","Sparrow, Cape Sable seaside","Vertebrate","Bird","FWS Region 4: Southeast","FL ",7,"Does the species rely on particular triggers for life cycle events (breeding, migration, color change) that are likely to become out of sync with seasonal changes in resource availability or environmental conditions (phenologic mismatch)?  ","","","Phenology","No"
"188","Ammodramus maritimus mirabilis","Sparrow, Cape Sable seaside","Vertebrate","Bird","FWS Region 4: Southeast","FL ",8,"Is the species is dependent on one or a few other species (e.g. host, pollinator, dominant food item) and may have limited alternatives if the required species declines due to climate change?  ","","","Obligate relationships","No"
"191","Ammodramus savannarum floridanus","Sparrow, Florida grasshopper","Vertebrate","Bird","FWS Region 4: Southeast","FL",1,"Does the species have specialized thermal tolerance (e.g. pika, trout) or depend on habitat with an important temperature threshold (e.g. sea ice)? ","","","Temperature","No"
"192","Ammodramus savannarum floridanus","Sparrow, Florida grasshopper","Vertebrate","Bird","FWS Region 4: Southeast","FL",2,"Is the species dependent on habitat with specialized hydrology pattern (e.g. wetland, vernal pool, seasonal streams; sensitivity to drought)?","Species ""cannot successfully nest if water levels are too high"" (sensitive to timing, amount, and intensity of water in habitat).","FWS recovery plan (http://www.fws.gov/verobeach/MSRPPDFs/FloridaGrasshopperSparrow.pdf)","Hydrology","Yes"
"193","Ammodramus savannarum floridanus","Sparrow, Florida grasshopper","Vertebrate","Bird","FWS Region 4: Southeast","FL",3,"Is the species or its habitat sensitive to or dependent upon a certain disturbance regime (e.g. old growth forest, fire-adapted system; seasonal floods)?","Very specific habitat requirements --habitat is maintained by periodic fires","NatureServe; FWS recovery Plan (http://www.fws.gov/verobeach/MSRPPDFs/FloridaGrasshopperSparrow.pdf)","Disturbance","Yes"
"194","Ammodramus savannarum floridanus","Sparrow, Florida grasshopper","Vertebrate","Bird","FWS Region 4: Southeast","FL",4,"Is the species or its habitat geographically restricted or confined by natural and/or anthropogenic barriers (e.g. mountain range, isolated soil type, coastal zone or island, or hemmed in by urban development)?","Very restricted range: ""<100-250 square km (less than about 40-100 square miles)""; ""occurs at seven scattered sites on public and private land.""","NatureServe","Isolation","Yes"
"195","Ammodramus savannarum floridanus","Sparrow, Florida grasshopper","Vertebrate","Bird","FWS Region 4: Southeast","FL",5,"Is the species or its habitat threatened by the spread of invasive or “out of balance” species (e.g. weed, forest pest, novel disease)?","","","Injurious species","No"
"196","Ammodramus savannarum floridanus","Sparrow, Florida grasshopper","Vertebrate","Bird","FWS Region 4: Southeast","FL",6,"Is the species sensitive to changes in chemical concentration (e.g. elevated atmospheric CO2, change in water pH, or dissolved oxygen tolerance)?","","","Chemistry","No"
"197","Ammodramus savannarum floridanus","Sparrow, Florida grasshopper","Vertebrate","Bird","FWS Region 4: Southeast","FL",7,"Does the species rely on particular triggers for life cycle events (breeding, migration, color change) that are likely to become out of sync with seasonal changes in resource availability or environmental conditions (phenologic mismatch)?  ","","","Phenology","No"
"198","Ammodramus savannarum floridanus","Sparrow, Florida grasshopper","Vertebrate","Bird","FWS Region 4: Southeast","FL",8,"Is the species is dependent on one or a few other species (e.g. host, pollinator, dominant food item) and may have limited alternatives if the required species declines due to climate change?  ","","","Obligate relationships","No"
"200","Anaea troglodyta floridalis","Butterfly, Florida leafwing","Invertebrate","Arthropod","FWS Region 4: Southeast","FL",1,"Does the species have specialized thermal tolerance (e.g. pika, trout) or depend on habitat with an important temperature threshold (e.g. sea ice)? ","","","Temperature","No"
"201","Anaea troglodyta floridalis","Butterfly, Florida leafwing","Invertebrate","Arthropod","FWS Region 4: Southeast","FL",2,"Is the species dependent on habitat with specialized hydrology pattern (e.g. wetland, vernal pool, seasonal streams; sensitivity to drought)?","Vegetation community is sensitive to salinity changes.","listing decision (http://www.gpo.gov/fdsys/pkg/FR-2014-08-12/pdf/2014-18614.pdf)","Hydrology","Yes"
"202","Anaea troglodyta floridalis","Butterfly, Florida leafwing","Invertebrate","Arthropod","FWS Region 4: Southeast","FL",3,"Is the species or its habitat sensitive to or dependent upon a certain disturbance regime (e.g. old growth forest, fire-adapted system; seasonal floods)?","Requires a ""goldilocks"" fire regime; too little burning doesn't maintain habitat, too intense or wrongly timed kills individuals. Hurricanes also a threat.","Natureserve","Disturbance","Yes"
"203","Anaea troglodyta floridalis","Butterfly, Florida leafwing","Invertebrate","Arthropod","FWS Region 4: Southeast","FL",4,"Is the species or its habitat geographically restricted or confined by natural and/or anthropogenic barriers (e.g. mountain range, isolated soil type, coastal zone or island, or hemmed in by urban development)?","Yes. Habitat is restricted, isolated, and threatened. ","Natureserve","Isolation","Yes"
"204","Anaea troglodyta floridalis","Butterfly, Florida leafwing","Invertebrate","Arthropod","FWS Region 4: Southeast","FL",5,"Is the species or its habitat threatened by the spread of invasive or “out of balance” species (e.g. weed, forest pest, novel disease)?","Fire ants and exotic plants are both major threats.","Natureserve, http://onlinelibrary.wiley.com/doi/10.1111/j.1366-9516.2005.00142.x/abstract","Injurious species","Yes"
"205","Anaea troglodyta floridalis","Butterfly, Florida leafwing","Invertebrate","Arthropod","FWS Region 4: Southeast","FL",6,"Is the species sensitive to changes in chemical concentration (e.g. elevated atmospheric CO2, change in water pH, or dissolved oxygen tolerance)?","","","Chemistry","No"
"206","Anaea troglodyta floridalis","Butterfly, Florida leafwing","Invertebrate","Arthropod","FWS Region 4: Southeast","FL",7,"Does the species rely on particular triggers for life cycle events (breeding, migration, color change) that are likely to become out of sync with seasonal changes in resource availability or environmental conditions (phenologic mismatch)?  ","","","Phenology","No"
"207","Anaea troglodyta floridalis","Butterfly, Florida leafwing","Invertebrate","Arthropod","FWS Region 4: Southeast","FL",8,"Is the species is dependent on one or a few other species (e.g. host, pollinator, dominant food item) and may have limited alternatives if the required species declines due to climate change?  ","Larvae depend mainly on a single species, Croton linearis.","Natureserve","Obligate relationships","Yes"
"209","Anas laysanensis","Duck, Laysan","Vertebrate","Bird","FWS Region 1: Pacific","HI",1,"Does the species have specialized thermal tolerance (e.g. pika, trout) or depend on habitat with an important temperature threshold (e.g. sea ice)? ","","","Temperature","No"
"210","Anas laysanensis","Duck, Laysan","Vertebrate","Bird","FWS Region 1: Pacific","HI",2,"Is the species dependent on habitat with specialized hydrology pattern (e.g. wetland, vernal pool, seasonal streams; sensitivity to drought)?","Needs access to fresh water","NatureServe","Hydrology","Yes"
"211","Anas laysanensis","Duck, Laysan","Vertebrate","Bird","FWS Region 1: Pacific","HI",3,"Is the species or its habitat sensitive to or dependent upon a certain disturbance regime (e.g. old growth forest, fire-adapted system; seasonal floods)?","","","Disturbance","No"
"212","Anas laysanensis","Duck, Laysan","Vertebrate","Bird","FWS Region 1: Pacific","HI",4,"Is the species or its habitat geographically restricted or confined by natural and/or anthropogenic barriers (e.g. mountain range, isolated soil type, coastal zone or island, or hemmed in by urban development)?","""<100 square km (less than about 40 square miles) on Laysan Island. Resident on Laysan Island, northwestern Hawaiian Islands. Subfossils and ancient DNA indicate that this duck formerly was widespread in the Hawaiian Islands (Cooper et al. 1996).""","NatureServe","Isolation","Yes"
"213","Anas laysanensis","Duck, Laysan","Vertebrate","Bird","FWS Region 1: Pacific","HI",5,"Is the species or its habitat threatened by the spread of invasive or “out of balance” species (e.g. weed, forest pest, novel disease)?","Species' habitat is threatened by invasive grasses which may be favored by climate c hange","http://www.fws.gov/pacificislands/fauna/laysanduck.html","Injurious species","Yes"
"214","Anas laysanensis","Duck, Laysan","Vertebrate","Bird","FWS Region 1: Pacific","HI",6,"Is the species sensitive to changes in chemical concentration (e.g. elevated atmospheric CO2, change in water pH, or dissolved oxygen tolerance)?","","","Chemistry","No"
"215","Anas laysanensis","Duck, Laysan","Vertebrate","Bird","FWS Region 1: Pacific","HI",7,"Does the species rely on particular triggers for life cycle events (breeding, migration, color change) that are likely to become out of sync with seasonal changes in resource availability or environmental conditions (phenologic mismatch)?  ","","","Phenology","No"
"216","Anas laysanensis","Duck, Laysan","Vertebrate","Bird","FWS Region 1: Pacific","HI",8,"Is the species is dependent on one or a few other species (e.g. host, pollinator, dominant food item) and may have limited alternatives if the required species declines due to climate change?  ","","","Obligate relationships","No"
"218","Anas wyvilliana","Duck, Hawaiian ","Vertebrate","Bird","FWS Region 1: Pacific","HI",1,"Does the species have specialized thermal tolerance (e.g. pika, trout) or depend on habitat with an important temperature threshold (e.g. sea ice)? ","","","Temperature","No"
"219","Anas wyvilliana","Duck, Hawaiian ","Vertebrate","Bird","FWS Region 1: Pacific","HI",2,"Is the species dependent on habitat with specialized hydrology pattern (e.g. wetland, vernal pool, seasonal streams; sensitivity to drought)?","Occurs in wetland habitat -- susceptible to drainage and drought conditions","NatureServe","Hydrology","Yes"
"220","Anas wyvilliana","Duck, Hawaiian ","Vertebrate","Bird","FWS Region 1: Pacific","HI",3,"Is the species or its habitat sensitive to or dependent upon a certain disturbance regime (e.g. old growth forest, fire-adapted system; seasonal floods)?","","","Disturbance","No"
"221","Anas wyvilliana","Duck, Hawaiian ","Vertebrate","Bird","FWS Region 1: Pacific","HI",4,"Is the species or its habitat geographically restricted or confined by natural and/or anthropogenic barriers (e.g. mountain range, isolated soil type, coastal zone or island, or hemmed in by urban development)?","Formerly found be throughout Hawaiian Islands and is now limited from much of its original range.  Hybridization with mallards is a problem.","NatureServe","Isolation","No"
"222","Anas wyvilliana","Duck, Hawaiian ","Vertebrate","Bird","FWS Region 1: Pacific","HI",5,"Is the species or its habitat threatened by the spread of invasive or “out of balance” species (e.g. weed, forest pest, novel disease)?","Species is susceptible to avian botulism.  Outbreaks can be triggered by anaerobic conditions in warm water with decomposing vegetation and invertebrates. Also, some of the nonnative plants that degrade habitat (water hyacinth, mangrove) may be favored under CC","http://www.fws.gov/pacificislands/fauna/HIduck.html","Injurious species","Yes"
"223","Anas wyvilliana","Duck, Hawaiian ","Vertebrate","Bird","FWS Region 1: Pacific","HI",6,"Is the species sensitive to changes in chemical concentration (e.g. elevated atmospheric CO2, change in water pH, or dissolved oxygen tolerance)?","","","Chemistry","No"
"224","Anas wyvilliana","Duck, Hawaiian ","Vertebrate","Bird","FWS Region 1: Pacific","HI",7,"Does the species rely on particular triggers for life cycle events (breeding, migration, color change) that are likely to become out of sync with seasonal changes in resource availability or environmental conditions (phenologic mismatch)?  ","","","Phenology","No"
"225","Anas wyvilliana","Duck, Hawaiian ","Vertebrate","Bird","FWS Region 1: Pacific","HI",8,"Is the species is dependent on one or a few other species (e.g. host, pollinator, dominant food item) and may have limited alternatives if the required species declines due to climate change?  ","","","Obligate relationships","No"
"227","Anaxyrus baxteri","Toad, Wyoming","Vertebrate","Amphibian","FWS Region 6: Mountain Prairie","WY",1,"Does the species have specialized thermal tolerance (e.g. pika, trout) or depend on habitat with an important temperature threshold (e.g. sea ice)? ","","","Temperature","No"
"228","Anaxyrus baxteri","Toad, Wyoming","Vertebrate","Amphibian","FWS Region 6: Mountain Prairie","WY",2,"Is the species dependent on habitat with specialized hydrology pattern (e.g. wetland, vernal pool, seasonal streams; sensitivity to drought)?","""A population at a former reintroduction site (Lake George on the Hutton Lake National Wildlife Refuge) has been lost due to drought (USFWS 2002).""","Natureserve","Hydrology","Yes"
"229","Anaxyrus baxteri","Toad, Wyoming","Vertebrate","Amphibian","FWS Region 6: Mountain Prairie","WY",3,"Is the species or its habitat sensitive to or dependent upon a certain disturbance regime (e.g. old growth forest, fire-adapted system; seasonal floods)?","","","Disturbance","No"
"230","Anaxyrus baxteri","Toad, Wyoming","Vertebrate","Amphibian","FWS Region 6: Mountain Prairie","WY",4,"Is the species or its habitat geographically restricted or confined by natural and/or anthropogenic barriers (e.g. mountain range, isolated soil type, coastal zone or island, or hemmed in by urban development)?","Only one extant population exists, at Mortenson Lake National Wildlife Refuge as of 2002.","Natureserve","Isolation","Yes"
"231","Anaxyrus baxteri","Toad, Wyoming","Vertebrate","Amphibian","FWS Region 6: Mountain Prairie","WY",5,"Is the species or its habitat threatened by the spread of invasive or “out of balance” species (e.g. weed, forest pest, novel disease)?","Chytrid fungus and tamarisk are both threats.","Natureserve","Injurious species","Yes"
"232","Anaxyrus baxteri","Toad, Wyoming","Vertebrate","Amphibian","FWS Region 6: Mountain Prairie","WY",6,"Is the species sensitive to changes in chemical concentration (e.g. elevated atmospheric CO2, change in water pH, or dissolved oxygen tolerance)?","""Mortenson Lake recently has become more saline (and less suitable for toads) as a result of drought-related increases in evaporation (USFWS 2002).""","Natureserve","Chemistry","No"
"233","Anaxyrus baxteri","Toad, Wyoming","Vertebrate","Amphibian","FWS Region 6: Mountain Prairie","WY",7,"Does the species rely on particular triggers for life cycle events (breeding, migration, color change) that are likely to become out of sync with seasonal changes in resource availability or environmental conditions (phenologic mismatch)?  ","","","Phenology","No"
"234","Anaxyrus baxteri","Toad, Wyoming","Vertebrate","Amphibian","FWS Region 6: Mountain Prairie","WY",8,"Is the species is dependent on one or a few other species (e.g. host, pollinator, dominant food item) and may have limited alternatives if the required species declines due to climate change?  ","","","Obligate relationships","No"
"236","Antilocapra americana sonoriensis","Pronghorn, Sonoran","Vertebrate","Mammal","FWS Region 2: Southwest","AZ",1,"Does the species have specialized thermal tolerance (e.g. pika, trout) or depend on habitat with an important temperature threshold (e.g. sea ice)? ","Recovery plan posits ""thermal stress"" as a suspected mortality factor.","2016 recovery plan: https://ecos.fws.gov/docs/recovery_plan/FINAL%20Sonoran%20Pronghorn%20Recovery%20Plan,%202nd%20Revision%2011.16.16.pdf","Temperature","Yes"
"237","Antilocapra americana sonoriensis","Pronghorn, Sonoran","Vertebrate","Mammal","FWS Region 2: Southwest","AZ",2,"Is the species dependent on habitat with specialized hydrology pattern (e.g. wetland, vernal pool, seasonal streams; sensitivity to drought)?","Availability of free water reportedly is a critical factor (Hoffmeister 1986), following severe drought conditions that persisted through 2002, the entire U.S. Sonoran pronghorn population declined to an estimated 21 animals.  If the drought had continued, it is likely that the U.S. population would have been extirpated. Recovery plan notes that drought-induced changes to forage quality are an important threat.","2016 recovery plan:https://ecos.fws.gov/docs/recovery_plan/FINAL%20Sonoran%20Pronghorn%20Recovery%20Plan,%202nd%20Revision%2011.16.16.pdf","Hydrology","Yes"
"238","Antilocapra americana sonoriensis","Pronghorn, Sonoran","Vertebrate","Mammal","FWS Region 2: Southwest","AZ",3,"Is the species or its habitat sensitive to or dependent upon a certain disturbance regime (e.g. old growth forest, fire-adapted system; seasonal floods)?","Habitat is sensitive to changes in wildfire regime brought on by invasive species and drought.","2016 recovery plan: https://ecos.fws.gov/docs/recovery_plan/FINAL%20Sonoran%20Pronghorn%20Recovery%20Plan,%202nd%20Revision%2011.16.16.pdf","Disturbance","No"
"239","Antilocapra americana sonoriensis","Pronghorn, Sonoran","Vertebrate","Mammal","FWS Region 2: Southwest","AZ",4,"Is the species or its habitat geographically restricted or confined by natural and/or anthropogenic barriers (e.g. mountain range, isolated soil type, coastal zone or island, or hemmed in by urban development)?","Sonoran pronghorn have not adapted to any form of artificial barrier placed within their range and only infrequently cross roads, railroad tracks, or fences (cf. Brown and Ockenfels, 2007:28-32).  Thus, they have severely contracted their original range in the U.S. to the current fragment bounded on the north by Interstate 8, on the east by Arizona State Route 85 (S.R. 85), and on the west by the Copper and Cabeza Prieta mountains.","2016 recovery plan: https://ecos.fws.gov/docs/recovery_plan/FINAL%20Sonoran%20Pronghorn%20Recovery%20Plan,%202nd%20Revision%2011.16.16.pdf","Isolation","Yes"
"240","Antilocapra americana sonoriensis","Pronghorn, Sonoran","Vertebrate","Mammal","FWS Region 2: Southwest","AZ",5,"Is the species or its habitat threatened by the spread of invasive or “out of balance” species (e.g. weed, forest pest, novel disease)?","","","Injurious species","No"
"241","Antilocapra americana sonoriensis","Pronghorn, Sonoran","Vertebrate","Mammal","FWS Region 2: Southwest","AZ",6,"Is the species sensitive to changes in chemical concentration (e.g. elevated atmospheric CO2, change in water pH, or dissolved oxygen tolerance)?","","","Chemistry","No"
"242","Antilocapra americana sonoriensis","Pronghorn, Sonoran","Vertebrate","Mammal","FWS Region 2: Southwest","AZ",7,"Does the species rely on particular triggers for life cycle events (breeding, migration, color change) that are likely to become out of sync with seasonal changes in resource availability or environmental conditions (phenologic mismatch)?  ","","","Phenology","No"
"243","Antilocapra americana sonoriensis","Pronghorn, Sonoran","Vertebrate","Mammal","FWS Region 2: Southwest","AZ",8,"Is the species is dependent on one or a few other species (e.g. host, pollinator, dominant food item) and may have limited alternatives if the required species declines due to climate change?  ","","","Obligate relationships","No"
"245","Antrobia culveri","Cavesnail, Tumbling Creek","Invertebrate","Mollusk","FWS Region 3: Midwest","MO",1,"Does the species have specialized thermal tolerance (e.g. pika, trout) or depend on habitat with an important temperature threshold (e.g. sea ice)? ","","","Temperature","No"
"246","Antrobia culveri","Cavesnail, Tumbling Creek","Invertebrate","Mollusk","FWS Region 3: Midwest","MO",2,"Is the species dependent on habitat with specialized hydrology pattern (e.g. wetland, vernal pool, seasonal streams; sensitivity to drought)?","Cave-dwelling snail extremely sensitve to drought.","Natureserve","Hydrology","Yes"
"247","Antrobia culveri","Cavesnail, Tumbling Creek","Invertebrate","Mollusk","FWS Region 3: Midwest","MO",3,"Is the species or its habitat sensitive to or dependent upon a certain disturbance regime (e.g. old growth forest, fire-adapted system; seasonal floods)?","","","Disturbance","No"
"248","Antrobia culveri","Cavesnail, Tumbling Creek","Invertebrate","Mollusk","FWS Region 3: Midwest","MO",4,"Is the species or its habitat geographically restricted or confined by natural and/or anthropogenic barriers (e.g. mountain range, isolated soil type, coastal zone or island, or hemmed in by urban development)?","""(<100 square km (less than about 40 square miles)) Known only from in single stream in Tumbling Creek Cave in southwestern Missouri (Wu et. al. 1997).""","Natureserve","Isolation","Yes"
"249","Antrobia culveri","Cavesnail, Tumbling Creek","Invertebrate","Mollusk","FWS Region 3: Midwest","MO",5,"Is the species or its habitat threatened by the spread of invasive or “out of balance” species (e.g. weed, forest pest, novel disease)?","","","Injurious species","No"
"250","Antrobia culveri","Cavesnail, Tumbling Creek","Invertebrate","Mollusk","FWS Region 3: Midwest","MO",6,"Is the species sensitive to changes in chemical concentration (e.g. elevated atmospheric CO2, change in water pH, or dissolved oxygen tolerance)?","Like many acquatic species, this snail is adversely affected by lower than optimal dissolved oxygen concentration.","recovery plan (http://ecos.fws.gov/docs/recovery_plan/030922a.pdf)","Chemistry","Yes"
"251","Antrobia culveri","Cavesnail, Tumbling Creek","Invertebrate","Mollusk","FWS Region 3: Midwest","MO",7,"Does the species rely on particular triggers for life cycle events (breeding, migration, color change) that are likely to become out of sync with seasonal changes in resource availability or environmental conditions (phenologic mismatch)?  ","","","Phenology","No"
"252","Antrobia culveri","Cavesnail, Tumbling Creek","Invertebrate","Mollusk","FWS Region 3: Midwest","MO",8,"Is the species is dependent on one or a few other species (e.g. host, pollinator, dominant food item) and may have limited alternatives if the required species declines due to climate change?  ","","","Obligate relationships","No"
"254","Aplodontia rufa nigra","Mountain beaver, Point Arena","Vertebrate","Mammal","FWS Region 8: Pacific Southwest","CA",1,"Does the species have specialized thermal tolerance (e.g. pika, trout) or depend on habitat with an important temperature threshold (e.g. sea ice)? ","Species has ""limited ability to thermoregulate"" and one reason for their limited distribution may be sensitivity to high temperatures.  ""They seem to tolerate low temperature extremes better than high ones, with a lethal body temperature of about 42 degrees Centigrade (108 degrees Fahrenheit) (Johnson 1971). When exposed to high ambient temperatures, animals in captivity respond by either reducing their activity and changing their body conformation (sprawling out their body), or by attempting to escape (Kinney 1971). Mountain beaver lack such behavioral responses as panting or salivation to reduce heat stress (Johnson 1971) and do not sweat. An annual summer molt decreases insulation, letting them tolerate greater heat (Johnson 1971).""","FWS recovery plan, http://www.fws.gov/arcata/es/mammals/mtnbeaver/documents/1998%20Recovery%20Plan%20for%20the%20Point%20Arena%20Mountain%20Beaver.pdf","Temperature","Yes"
"255","Aplodontia rufa nigra","Mountain beaver, Point Arena","Vertebrate","Mammal","FWS Region 8: Pacific Southwest","CA",2,"Is the species dependent on habitat with specialized hydrology pattern (e.g. wetland, vernal pool, seasonal streams; sensitivity to drought)?","Species has primitive renal system which does not allow it to concentrate urine.  ""One consequence of this inability to concentrate urine is that mountain beaver require large quantities of water to replace that lost through excretion (Nungesser et al. 1960, Dolph et al. 196;’ Nungesser and Pfeiffer 1965). a need that may be a major reason why mountain beaver are restricted to moist environments (Pfeiffer 1965).""","FWS recovery plan, http://www.fws.gov/arcata/es/mammals/mtnbeaver/documents/1998%20Recovery%20Plan%20for%20the%20Point%20Arena%20Mountain%20Beaver.pdf","Hydrology","Yes"
"256","Aplodontia rufa nigra","Mountain beaver, Point Arena","Vertebrate","Mammal","FWS Region 8: Pacific Southwest","CA",3,"Is the species or its habitat sensitive to or dependent upon a certain disturbance regime (e.g. old growth forest, fire-adapted system; seasonal floods)?","Habitat required is a specific seral stage (brushy/scrubby) that occurs before succession to more mature forest habitat.  ","FWS recovery plan and five-year review, http://www.fws.gov/arcata/es/mammals/mtnbeaver/documents/1998%20Recovery%20Plan%20for%20the%20Point%20Arena%20Mountain%20Beaver.pdf","Disturbance","Yes"
"257","Aplodontia rufa nigra","Mountain beaver, Point Arena","Vertebrate","Mammal","FWS Region 8: Pacific Southwest","CA",4,"Is the species or its habitat geographically restricted or confined by natural and/or anthropogenic barriers (e.g. mountain range, isolated soil type, coastal zone or island, or hemmed in by urban development)?","Population is restricted to small coastal portion of Coastal Mendocino County, California.  Range is ""less than 100-250 square km (less than about 40-100 square miles)"" and population is extremely susceptible to natural disasters or other events stochastic events that cause high mortality.  Species also occurs in location threatened by sea level rise (particularly coastal bluff populations)","NatureServe","Isolation","Yes"
"258","Aplodontia rufa nigra","Mountain beaver, Point Arena","Vertebrate","Mammal","FWS Region 8: Pacific Southwest","CA",5,"Is the species or its habitat threatened by the spread of invasive or “out of balance” species (e.g. weed, forest pest, novel disease)?","The species habitat may threatened by plant invaders, many of which are likely to benefit from climate change, but the species also utilizes some invasive plants such as ice plant so scored this as a neutral factor.","FWS recovery plan, http://www.fws.gov/arcata/es/mammals/mtnbeaver/documents/1998%20Recovery%20Plan%20for%20the%20Point%20Arena%20Mountain%20Beaver.pdf","Injurious species","No"
"259","Aplodontia rufa nigra","Mountain beaver, Point Arena","Vertebrate","Mammal","FWS Region 8: Pacific Southwest","CA",6,"Is the species sensitive to changes in chemical concentration (e.g. elevated atmospheric CO2, change in water pH, or dissolved oxygen tolerance)?","","FWS recovery plan, http://www.fws.gov/arcata/es/mammals/mtnbeaver/documents/1998%20Recovery%20Plan%20for%20the%20Point%20Arena%20Mountain%20Beaver.pdf","Chemistry","No"
"260","Aplodontia rufa nigra","Mountain beaver, Point Arena","Vertebrate","Mammal","FWS Region 8: Pacific Southwest","CA",7,"Does the species rely on particular triggers for life cycle events (breeding, migration, color change) that are likely to become out of sync with seasonal changes in resource availability or environmental conditions (phenologic mismatch)?  ","","FWS recovery plan, http://www.fws.gov/arcata/es/mammals/mtnbeaver/documents/1998%20Recovery%20Plan%20for%20the%20Point%20Arena%20Mountain%20Beaver.pdf","Phenology","No"
"261","Aplodontia rufa nigra","Mountain beaver, Point Arena","Vertebrate","Mammal","FWS Region 8: Pacific Southwest","CA",8,"Is the species is dependent on one or a few other species (e.g. host, pollinator, dominant food item) and may have limited alternatives if the required species declines due to climate change?  ","","FWS recovery plan, http://www.fws.gov/arcata/es/mammals/mtnbeaver/documents/1998%20Recovery%20Plan%20for%20the%20Point%20Arena%20Mountain%20Beaver.pdf","Obligate relationships","No"
"263","Apodemia mormo langei","Butterfly, Lange's metalmark","Invertebrate","Arthropod","FWS Region 8: Pacific Southwest","CA",1,"Does the species have specialized thermal tolerance (e.g. pika, trout) or depend on habitat with an important temperature threshold (e.g. sea ice)? ","","","Temperature","No"
"264","Apodemia mormo langei","Butterfly, Lange's metalmark","Invertebrate","Arthropod","FWS Region 8: Pacific Southwest","CA",2,"Is the species dependent on habitat with specialized hydrology pattern (e.g. wetland, vernal pool, seasonal streams; sensitivity to drought)?","","","Hydrology","No"
"265","Apodemia mormo langei","Butterfly, Lange's metalmark","Invertebrate","Arthropod","FWS Region 8: Pacific Southwest","CA",3,"Is the species or its habitat sensitive to or dependent upon a certain disturbance regime (e.g. old growth forest, fire-adapted system; seasonal floods)?","""Xerces Society red list profile of this species (Black and Vaughan 2005) points out that about 40% of the habitat burned in 2000 and that recent counts have been under 450 adults.""  Increasing frequency/severity of fires in California may destroy remnant population.","Natureserve","Disturbance","Yes"
"266","Apodemia mormo langei","Butterfly, Lange's metalmark","Invertebrate","Arthropod","FWS Region 8: Pacific Southwest","CA",4,"Is the species or its habitat geographically restricted or confined by natural and/or anthropogenic barriers (e.g. mountain range, isolated soil type, coastal zone or island, or hemmed in by urban development)?","Endemic to Antioch Dunes NWR and immediately adjacent (<150 meters) land. The entire dune system is now about 67 acres, not all of which supports Lange's metalmark. ","Natureserve","Isolation","Yes"
"267","Apodemia mormo langei","Butterfly, Lange's metalmark","Invertebrate","Arthropod","FWS Region 8: Pacific Southwest","CA",5,"Is the species or its habitat threatened by the spread of invasive or “out of balance” species (e.g. weed, forest pest, novel disease)?","""The main threat as of 2008 is thought to be invasive weeds affecting the foodplant (Eriogonum latifolium ssp. auriculatum), and possibly other aspects of the habitat."" ""Extremely sensitive to loss of host plant, as will not utilize host until it is four or five years old.""","Natureserve","Injurious species","Yes"
"268","Apodemia mormo langei","Butterfly, Lange's metalmark","Invertebrate","Arthropod","FWS Region 8: Pacific Southwest","CA",6,"Is the species sensitive to changes in chemical concentration (e.g. elevated atmospheric CO2, change in water pH, or dissolved oxygen tolerance)?","","","Chemistry","No"
"269","Apodemia mormo langei","Butterfly, Lange's metalmark","Invertebrate","Arthropod","FWS Region 8: Pacific Southwest","CA",7,"Does the species rely on particular triggers for life cycle events (breeding, migration, color change) that are likely to become out of sync with seasonal changes in resource availability or environmental conditions (phenologic mismatch)?  ","","","Phenology","No"
"270","Apodemia mormo langei","Butterfly, Lange's metalmark","Invertebrate","Arthropod","FWS Region 8: Pacific Southwest","CA",8,"Is the species is dependent on one or a few other species (e.g. host, pollinator, dominant food item) and may have limited alternatives if the required species declines due to climate change?  ","Relies on a single host plant, Eriogonum latifolium ssp. Auriculatum","recovery plan (http://ecos.fws.gov/docs/recovery_plan/Antioch%20Dunes%20species%20(1).pdf)","Obligate relationships","Yes"
"272","Arkansia wheeleri","Pocketbook, Ouachita rock","Invertebrate","Mollusk","FWS Region 2: Southwest","AR, OK",1,"Does the species have specialized thermal tolerance (e.g. pika, trout) or depend on habitat with an important temperature threshold (e.g. sea ice)? ","Species is likely sensitive to changes in water temperature."," recovery plan (http://ecos.fws.gov/docs/recovery_plan/040602.pdf)","Temperature","Yes"
